Bit,Importance,Molecules_With_Bit,Percentage_of_Training_Set,Activity_Difference,Compound_50_Active,Compound_51_Active
662,0.013321014971081594,16,1.0582010582010581,-3.511466319011869,False,False
278,0.012736724146512491,19,1.2566137566137565,-2.9791086317854765,False,False
1607,0.012273596437976389,696,46.03174603174603,0.4421900405749768,False,False
1602,0.01179596874302731,924,61.111111111111114,0.5630253707231563,True,True
83,0.010987841617079637,25,1.6534391534391533,-2.288828072188065,False,False
644,0.010771014611406279,20,1.3227513227513228,-2.88654769442002,False,False
762,0.009955659881839203,10,0.6613756613756614,-2.114304567113897,False,False
1978,0.009919126456303497,20,1.3227513227513228,-1.919302583451075,False,False
1820,0.009726908076275707,28,1.8518518518518516,-1.4078370835092393,False,False
239,0.009480460062746462,32,2.1164021164021163,-1.2586233596875411,False,False
589,0.009248618232207385,250,16.534391534391535,0.6124966025897267,False,False
1475,0.009155692985773206,400,26.455026455026452,0.49314919860468454,False,False
146,0.00900462767218793,34,2.2486772486772484,-1.6884293778740571,False,False
315,0.008859285292185399,227,15.013227513227514,0.6271414482711224,False,False
1564,0.008532236590163039,110,7.2751322751322745,-0.7834577949908428,False,False
1827,0.008341236528857003,27,1.7857142857142856,-1.285760600786371,False,False
202,0.008155709756433517,331,21.891534391534393,0.3885323691793525,False,False
2026,0.007955990804064339,39,2.579365079365079,-1.4072301282744335,False,False
1638,0.006868767353298511,20,1.3227513227513228,-1.4508690543181082,False,False
1114,0.0063103831293876,210,13.88888888888889,-0.5992630285757978,False,False
