Bit,Compound_50_Active,Compound_51_Active,RF_Importance,Training_Prevalence,Training_Percentage,Activity_Difference
389,True,False,0.003264794478482386,387,25.595238095238095,-0.0887215560911141
1057,False,True,0.0029835083400276603,966,63.888888888888886,-0.08617843279079018
1199,True,False,0.002855739172442341,527,34.854497354497354,-0.03831105057091122
1088,True,False,0.002439086979157905,769,50.85978835978836,-0.12218045215291795
1722,False,True,0.002222039395520701,357,23.61111111111111,0.08505139996246225
715,False,True,0.0011842215459111464,148,9.788359788359788,-0.2631203566931486
235,False,True,0.000652189835161077,69,4.563492063492063,-0.23496125203842633
1823,False,True,0.0004534862777141061,74,4.894179894179894,-0.21236368351427792
1920,False,True,0.00039486125257703295,53,3.505291005291005,-0.17359320930366318
575,True,False,7.181091073531017e-05,7,0.4629629629629629,0.001413294349684513
