Bit,Present_In,RF_Importance,Training_Prevalence,Activity_Difference,Radius,Environment_SMILES
389,Compound 50,0.003264794478482386,387,-0.0887215560911141,2,ccccc
1057,Compound 51,0.0029835083400276603,966,-0.08617843279079018,0,C
1199,Compound 50,0.002855739172442341,527,-0.03831105057091122,2,ccccc
1199,Compound 50,0.002855739172442341,527,-0.03831105057091122,2,ccccc
1088,Compound 50,0.002439086979157905,769,-0.12218045215291795,1,ccc
1088,Compound 50,0.002439086979157905,769,-0.12218045215291795,1,ccc
1088,Compound 50,0.002439086979157905,769,-0.12218045215291795,1,ccc
1722,Compound 51,0.002222039395520701,357,0.08505139996246225,1,cC
715,Compound 51,0.0011842215459111464,148,-0.2631203566931486,2,cccc(c)S
715,Compound 51,0.0011842215459111464,148,-0.2631203566931486,2,cccc(c)S
235,Compound 51,0.000652189835161077,69,-0.23496125203842633,2,cccc(c)C
235,Compound 51,0.000652189835161077,69,-0.23496125203842633,2,cccc(c)C
1823,Compound 51,0.0004534862777141061,74,-0.21236368351427792,1,cc(c)C
1920,Compound 51,0.00039486125257703295,53,-0.17359320930366318,2,ccc(C)cc
575,Compound 50,7.181091073531017e-05,7,0.001413294349684513,2,cccc(c)S
575,Compound 50,7.181091073531017e-05,7,0.001413294349684513,2,cccc(c)S
