Bit,Importance,Molecules_With_Bit,Percentage_of_Training_Set,Mean_pIC50_With_Bit,Mean_pIC50_Without_Bit,Activity_Difference
662,0.013321014971081594,16,1.0582010582010581,0.6733454544177652,4.184811773429634,-3.511466319011869
278,0.012736724146512491,19,1.2566137566137565,1.2059806567894835,4.18508928857496,-2.9791086317854765
1607,0.012273596437976389,696,46.03174603174603,4.386295643803305,3.9441056032283286,0.4421900405749768
1602,0.01179596874302731,924,61.111111111111114,4.36660771052026,3.8035823397971034,0.5630253707231563
83,0.010987841617079637,25,1.6534391534391533,1.8966697069958756,4.18549777918394,-2.288828072188065
644,0.010771014611406279,20,1.3227513227513228,1.299287553073245,4.185835247493265,-2.88654769442002
762,0.009955659881839203,10,0.6613756613756614,2.047332328383825,4.161636895497722,-2.114304567113897
1978,0.009919126456303497,20,1.3227513227513228,2.2537384165426007,4.173040999993676,-1.919302583451075
1820,0.009726908076275707,28,1.8518518518518516,2.76588737327626,4.173724456785499,-1.4078370835092393
239,0.009480460062746462,32,2.1164021164021163,2.9156675714178935,4.174290931105435,-1.2586233596875411
589,0.009248618232207385,250,16.534391534391535,4.658877415866171,4.0463808132764445,0.6124966025897267
1475,0.009155692985773206,400,26.455026455026452,4.51033984733454,4.017190648729856,0.49314919860468454
146,0.00900462767218793,34,2.2486772486772484,2.4971913490896562,4.185620726963713,-1.6884293778740571
315,0.008859285292185399,227,15.013227513227514,4.680640675495905,4.0534992272247825,0.6271414482711224
1564,0.008532236590163039,110,7.2751322751322745,3.4211931955980517,4.2046509905888945,-0.7834577949908428
1827,0.008341236528857003,27,1.7857142857142856,2.8848528096254333,4.1706134104118044,-1.285760600786371
202,0.008155709756433517,331,21.891534391534393,4.451130071641687,4.062597702462335,0.3885323691793525
2026,0.007955990804064339,39,2.579365079365079,2.776720873924058,4.183951002198492,-1.4072301282744335
1638,0.006868767353298511,20,1.3227513227513228,2.7159757349727505,4.166844789290859,-1.4508690543181082
1114,0.0063103831293876,210,13.88888888888889,3.6316213472987617,4.23088437587456,-0.5992630285757978
